# R-1（Remotion 載せ替え）効果確認 2026-09-19 実施
# 差し替え日 2026-09-03 / 判定: ① OK（スキップ率 50.6→43.0% / 平均視聴 12.4→19.2 秒） ② NG（コメント中央値 10→6）


## weekly_age_fixed
set_code           week_from  n   avg_views_72h  avg_reach_72h  avg_skip_pct_72h  avg_watch_s_72h  avg_comments_72h  avg_saved_72h
-----------------  ---------  --  -------------  -------------  ----------------  ---------------  ----------------  -------------
fantasy-animals-1  08-03      2   47             44             86.5              2.0              0.00              0.00         
fantasy-animals-1  08-10      7   89             84             91.9              1.6              0.00              0.00         
fantasy-animals-1  08-17      7   92             86             92.7              2.0              0.00              0.14         
fantasy-animals-1  08-24      7   43             41             95.4              1.2              0.00              0.00         
logic-training-1   08-03      5   94             85             79.1              3.8              0.00              0.00         
logic-training-1   08-10      21  558            349            80.2              3.9              0.48              0.14         
logic-training-1   08-17      18  1246           902            67.6              6.6              1.89              0.28         
logic-training-1   08-24      14  2060           1292           52.1              15.1             9.07              1.21         
logic-training-1   08-31      12  1760           1080           52.2              18.5             12.50             0.92         
logic-training-1   09-07      14  16396          9680           44.9              18.3             10.14             2.93         
logic-training-1   09-14      4   5745           3078           45.4              22.2             10.25             1.75         
pref-ranking-1     08-24      5   905            753            61.0              10.4             0.00              1.00         
pref-ranking-1     08-31      7   87             76             67.7              21.9             0.00              0.00         
pref-ranking-1     09-07      7   132            113            69.2              7.0              0.00              0.00         
pref-ranking-1     09-14      2   39             38             77.7              3.0              0.00              0.00         
(15 rows)

## per_post_latest
set_code           post_id  posted_jst   age_days  views   reach  skip_rate_pct  avg_watch_s  likes  comments  saved  shares
-----------------  -------  -----------  --------  ------  -----  -------------  -----------  -----  --------  -----  ------
fantasy-animals-1  73       08-08 21:07  13.8      25      25     79.2           2.1          1      0         0      0     
fantasy-animals-1  80       08-09 21:07  13.8      69      63     93.7           1.8          1      0         0      0     
fantasy-animals-1  87       08-10 21:07  13.8      25      20     81.0           1.9          0      0         0      0     
fantasy-animals-1  94       08-11 21:06  13.8      110     103    92.1           1.8          2      0         0      1     
fantasy-animals-1  101      08-12 21:07  13.8      102     95     92.6           1.8          2      0         0      1     
fantasy-animals-1  108      08-13 21:07  13.8      108     99     94.8           1.4          0      0         0      0     
fantasy-animals-1  115      08-14 21:07  13.8      111     105    91.6           1.5          0      0         0      1     
fantasy-animals-1  122      08-15 21:06  13.8      96      88     97.7           1.3          1      0         0      0     
fantasy-animals-1  129      08-16 21:06  13.8      75      80     91.4           1.6          1      0         0      0     
fantasy-animals-1  136      08-17 21:06  13.8      100     91     89.9           3.0          3      0         1      0     
fantasy-animals-1  143      08-18 21:06  13.8      37      31     86.7           3.7          1      0         0      0     
fantasy-animals-1  150      08-19 21:06  13.8      110     103    88.9           1.8          0      0         0      0     
fantasy-animals-1  157      08-20 21:07  13.3      69      71     95.6           1.1          0      0         0      0     
fantasy-animals-1  164      08-21 21:07  12.3      108     103    96.0           1.7          2      0         0      0     
fantasy-animals-1  171      08-22 21:07  11.3      122     108    94.5           1.4          1      0         0      0     
fantasy-animals-1  178      08-23 21:06  10.3      108     102    93.9           1.5          1      0         0      0     
fantasy-animals-1  183      08-24 21:06  9.3       69      65     100.0          1.0          0      0         0      0     
