city,pref_code,households,data_year,source_name,source_url
札幌市,1,545212,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
青森市,2,76888,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
盛岡市,3,77988,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
仙台市,4,288413,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
秋田市,5,87058,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
山形市,6,66563,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
福島市,7,76991,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
水戸市,8,74335,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
宇都宮市,9,141314,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
前橋市,10,92271,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
さいたま市,11,370327,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
千葉市,12,270118,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
東京都区部,13,2421845,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
横浜市,14,1045037,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
川崎市,14,405273,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
相模原市,14,199569,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
新潟市,15,214559,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
富山市,16,113513,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
金沢市,17,121861,2020,令和2年国勢調査 人口等基本集計 第6-3表（世帯人員の人数別一般世帯数）,https://www.e-stat.go.jp/dbview?sid=0003445278
